Service Request#;Incident Date;BLDG#;Street;Boro;Zip;Cross Streets;Cleaning Methods;San Dist;CB;Precinct;Council Dist;City Owned;xcoord;ycoord;On Roll Down Gate;Cherry Picker;Above 3rd Floor;LM
G138279;10/6/2015;117;LUDLOW STREET;MANHATTAN;10002;DELANCEY STREET / RIVINGTON STREET;"Paint No preference ; ";103;03;7;01;FALSE;987337;201446;Yes;No;No;FALSE
G138280;10/6/2015;125;LUDLOW STREET;MANHATTAN;10002;DELANCEY STREET / RIVINGTON STREET;;103;3;7;01;FALSE;987363;201511;Yes;No;No;FALSE
G138282;10/6/2015;81;HESTER STREET;MANHATTAN;10002;ORCHARD STREET / ALLEN STREET;"Paint Gray ; ";103;3;7;01;FALSE;986647;200209;Yes;No;No;FALSE
G138284;10/6/2015;122;ORCHARD STREET;MANHATTAN;10002;DELANCEY STREET / RIVINGTON STREET;;103;3;7;01;FALSE;987218;201390;Yes;No;No;FALSE
G138285;10/6/2015;117;STANTON STREET;MANHATTAN;10002;LUDLOW STREET / ESSEX STREET;;103;3;7;01;FALSE;987767;201952;Yes;No;No;FALSE
G138286;10/6/2015;156;STANTON STREET;MANHATTAN;10002;SUFFOLK STREET / CLINTON STREET;"Paint No preference ; ";103;3;7;01;FALSE;988397;201801;Yes;No;No;FALSE
G138287;10/6/2015;500;DEKALB AVENUE;BROOKLYN;11205;FRANKLIN AVENUE / SKILLMAN STREET;"None Specified; ";303;3;79;36;FALSE;996261;190868;No;No;No;FALSE
G138288;10/6/2015;2950;AVENUE U;BROOKLYN;11229;HARING STREET / BROWN STREET;"Paint Other POWERWASH SIDE BRICK WALL; Powerwash; ";315;15;61;46;FALSE;1000805;158006;Yes;No;No;FALSE
G138289;10/6/2015;5723;2 AVENUE;BROOKLYN;11220;57 STREET / 58 STREET;"Powerwash; ";307;07;72;38;FALSE;978361;174115;No;No;No;FALSE
G138290;10/6/2015;229;53 STREET;BROOKLYN;11220;2 AVENUE / 3 AVENUE;"Paint White ; ";307;7;72;38;FALSE;979345;175029;Yes;No;No;FALSE
G138291;10/6/2015;2952;AVENUE X;BROOKLYN;11235;HARING STREET / BROWN STREET;"None Specified; ";315;15;61;46;FALSE;1001104;155582;No;No;No;FALSE
G138294;10/6/2015;1252;SAINT LAWRENCE AVENUE;BRONX;10472;GLEASON AVENUE / NYCTA SUBWAY;;209;9;43;18;FALSE;1021040;242217;No;No;No;FALSE
G138301;10/7/2015;1675;EAST    2 STREET;BROOKLYN;11223;AVENUE P / QUENTIN ROAD;"Paint No preference ; ";315;15;61;44;FALSE;992132;161043;Yes;No;No;FALSE
G138302;10/7/2015;488;AVENUE P;BROOKLYN;11223;EAST    4 STREET / EAST    5 STREET;"Paint Gray ; ";315;15;61;44;FALSE;992748;161122;No;No;Yes;FALSE
G138303;10/7/2015;11;WEST   30 STREET;MANHATTAN;10001;5 AVENUE / BROADWAY;"Paint No preference ; ";105;5;14;03;FALSE;987794;211250;Yes;No;No;FALSE
G138304;10/7/2015;649;WEST  158 STREET;MANHATTAN;10032;EDWARD M MORGAN PLACE / RIVERSIDE DRIVE;"None Specified; ";112;12;33;07;FALSE;998949;243880;No;No;No;FALSE
G138305;10/7/2015;4071;BROADWAY;MANHATTAN;10032;WEST  171 STREET / WEST  172 STREET;;112;12;33;10;FALSE;1001003;246732;No;No;No;FALSE
G138306;10/7/2015;845;RIVERSIDE DRIVE;MANHATTAN;10032;BEND / WEST  160 STREET;"None Specified; ";112;12;33;07;FALSE;998869;243926;No;No;No;FALSE
G138308;10/7/2015;4067;BROADWAY;MANHATTAN;10032;WEST  171 STREET / WEST  172 STREET;"Paint No preference ; ";112;12;33;10;FALSE;1000984;246633;No;No;No;FALSE
G138309;10/7/2015;853;RIVERSIDE DRIVE;MANHATTAN;10032;BEND / WEST  160 STREET;"Paint No preference ; ";112;12;33;07;FALSE;998824;244052;No;No;No;FALSE
G138311;10/7/2015;51;BEACH STREET;MANHATTAN;10013;HUDSON STREET / COLLISTER STREET;"Paint Brick-Red ; ";101;1;1;01;FALSE;981711;201881;No;No;No;FALSE
G138312;10/7/2015;180;HESTER STREET;MANHATTAN;10013;MOTT STREET / MULBERRY STREET;;102;02;5;01;FALSE;984835;200862;No;No;No;FALSE
G138315;10/7/2015;142-12;ROCKAWAY BOULEVARD;QUEENS;11436;142 STREET / 142 PLACE;"Paint No preference ; ";412;12;113;28;FALSE;1040218;184826;No;No;No;FALSE
G138316;10/7/2015;112;WHITE STREET;MANHATTAN;10013;LAFAYETTE STREET / CENTRE STREET;;101;1;5;01;TRUE;984004;200567;Yes;No;No;FALSE
G138321;10/7/2015;34-44;JUNCTION BOULEVARD;QUEENS;11372;34 ROAD / 34 ROAD;;403;3;115;21;FALSE;1019648;213858;Yes;No;No;FALSE
G138323;10/8/2015;618;AMSTERDAM AVENUE;MANHATTAN;10024;WEST   89 STREET / WEST   90 STREET;;107;7;24;06;FALSE;991541;227178;Yes;No;No;FALSE
G138324;10/8/2015;652;AMSTERDAM AVENUE;MANHATTAN;10025;WEST   91 STREET / WEST   92 STREET;;107;7;24;06;FALSE;991832;227621;Yes;No;No;FALSE
G138325;10/8/2015;689;AMSTERDAM AVENUE;MANHATTAN;10025;WEST   93 STREET / WEST   94 STREET;"Paint Gray ; ";107;7;24;06;FALSE;992224;227873;Yes;No;No;FALSE
G138326;10/8/2015;201;WEST   94 STREET;MANHATTAN;10025;AMSTERDAM AVENUE / BROADWAY;"Powerwash; ";107;7;24;06;FALSE;992130;228190;Yes;No;No;FALSE
G138327;10/8/2015;174;WEST  107 STREET;MANHATTAN;10025;COLUMBUS AVENUE / AMSTERDAM AVENUE;;107;7;24;08;FALSE;993946;231065;Yes;No;No;FALSE
G138328;10/8/2015;12;VAN DYKE STREET;BROOKLYN;11231;OTSEGO STREET / DWIGHT STREET;"Paint Brick-Red ; ";306;6;76;38;FALSE;981230;184566;No;No;No;FALSE
G138330;10/8/2015;5;HARRISON STREET;MANHATTAN;10013;HUDSON STREET / STAPLE STREET;"Powerwash; ";101;1;1;01;FALSE;981683;201051;No;No;No;FALSE
