borough,neighborhood,building_class_category,tax_class_present,block,lot,easement,building_class_present,address,apartment_number,zip_code,residential_units,commmercial_units,total_units,land_sq_feet,gross_sq_feet,year_built,tax_class_time_sale,build_class_time_sale,sale_price,sale_date,serialid
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1B,6245,260,,V0,FURMAN STREET,,10312,0,0,0,4200,0,0,1,V0,0,6/13/2011,212889
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1B,6301,62,,V0,RENSSELAER AVENUE,,10312,0,0,0,6000,0,0,1,V0,220000,7/8/2011,212890
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1B,6426,63,,V0,SYCAMORE STREET,,10312,0,0,0,4000,0,0,1,V0,0,1/25/2011,212891
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1B,6426,65,,V0,SYCAMORE STREET,,10312,0,0,0,4000,0,0,1,V0,0,1/25/2011,212892
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1B,6431,1,,V0,DISCALA LANE,,10312,0,0,0,1265461,0,0,1,V0,0,2/8/2011,212893
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1B,6454,30,,V0,ZEPHYR AVENUE,,10312,0,0,0,11250,0,0,1,V0,0,1/20/2011,212894
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1B,6454,30,,V0,ZEPHYR AVENUE,,10312,0,0,0,11250,0,0,1,V0,0,1/20/2011,212895
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1B,6475,290,,V0,NICOLOSI LOOP,,10312,0,0,0,12265,0,0,1,V0,0,6/10/2011,212896
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1,6475,520,,A5,ARBUTUS AVENUE,,10312,1,0,1,22410,1871,2011,1,V0,0,4/5/2011,212897
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1B,6475,525,,V0,ARBUTUS AVENUE,,10312,0,0,0,7104,0,0,1,V0,0,4/5/2011,212898
5,ANNADALE,05  TAX CLASS 1 VACANT LAND,1B,6475,527,,V0,ARBUTUS AVENUE,,10312,0,0,0,3040,0,0,1,V0,0,4/5/2011,212899
5,ANNADALE,21  OFFICE BUILDINGS,4,6249,421,,O9,908 ANNADALE ROAD,,10312,0,2,2,3795,1850,1899,4,O9,645640,6/16/2011,212900
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5724,83,,A5,32 BILLINGS STREET,,10312,1,0,1,2600,2304,2000,1,A5,462000,12/7/2011,212901
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5725,42,,A5,32 WINSTON STREET,,10312,1,0,1,2900,1420,1997,1,A5,329000,6/20/2011,212902
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5725,48,,A1,18 WINSTON STREET,,10312,1,0,1,4000,2630,2004,1,A1,645000,7/26/2011,212903
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5725,184,,A5,36 HINTON STREET,,10312,1,0,1,2658,2284,2003,1,A5,455000,6/29/2011,212904
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5726,48,,A9,18 BENSON STREET,,10312,1,0,1,2000,1275,1986,1,A9,350000,9/22/2011,212905
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5726,82,,A5,1274 ARTHUR KILL ROAD,,10312,1,0,1,3350,2142,2005,1,A5,370000,4/2/2011,212906
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5727,39,,A5,106 KENILWORTH AVENUE,,10312,1,0,1,1275,1220,1996,1,A5,350000,3/29/2011,212907
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5727,98,,A5,208 KENILWORTH AVENUE,,10312,1,0,1,1366,1360,1998,1,A5,370000,3/9/2011,212908
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5727,99,,A5,210 KENILWORTH AVENUE,,10312,1,0,1,1366,1360,1998,1,A5,350000,11/1/2011,212909
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5727,117,,A5,52 KENILWORTH AVENUE,,10312,1,0,1,2426,1890,2002,1,A5,435000,6/29/2011,212910
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,317,,A5,149 PRESENTATION CIRCLE,,10312,1,0,1,3863,2202,2011,1,A5,0,8/23/2011,212911
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,318,,A5,147 PRESENTATION CIRCLE,,10312,1,0,1,2230,1991,2011,1,A5,0,8/23/2011,212912
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,319,,A5,145 PRESENTATION CIRCLE,,10312,1,0,1,2348,1991,2011,1,A5,0,8/23/2011,212913
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,320,,A5,143 PRESENTATION CIRCLE,,10312,1,0,1,2336,1991,2011,1,A5,0,8/23/2011,212914
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,321,,A5,141 PRESENTATION CIRCLE,,10312,1,0,1,2388,1991,2011,1,A5,0,8/23/2011,212915
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,322,,A5,139 PRESENTATION CIRCLE,,10312,1,0,1,2529,1991,2011,1,A5,0,8/23/2011,212916
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,323,,A5,137 PRESENTATION CIRCLE,,10312,1,0,1,4577,1991,2011,1,A5,0,8/23/2011,212917
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,330,,A5,104 PRESENTATION CIRCLE,,10312,1,0,1,6295,1991,2011,1,A5,0,8/23/2011,212918
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,335,,A5,160 PRESENTATION CIRCLE,,10312,1,0,1,4923,2030,2011,1,A5,0,8/23/2011,212919
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,338,,A5,168 PRESENTATION CIRCLE,,10312,1,0,1,1975,1991,2011,1,A5,436020,12/19/2011,212920
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,340,,A5,172 PRESENTATION CIRCLE,,10312,1,0,1,2499,1991,2011,1,A5,0,8/23/2011,212921
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,345,,A5,190 PRESENTATION CIRCLE,,10312,1,0,1,6212,1991,2011,1,A5,0,8/23/2011,212922
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,346,,A5,192 PRESENTATION CIRCLE,,10312,1,0,1,2466,1991,2011,1,A5,0,8/23/2011,212923
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,347,,A5,194 PRESENTATION CIRCLE,,10312,1,0,1,2482,1991,2011,1,A5,0,8/23/2011,212924
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,348,,A5,196 PRESENTATION CIRCLE,,10312,1,0,1,2497,1991,2011,1,A5,0,8/23/2011,212925
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,349,,A5,198 PRESENTATION CIRCLE,,10312,1,0,1,2094,1991,2011,1,A5,0,8/23/2011,212926
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,351,,A5,200 PRESENTATION CIRCLE,,10312,1,0,1,3716,1991,2011,1,A5,491790,12/23/2011,212927
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,351,,A5,200 PRESENTATION CIRCLE,,10312,1,0,1,3716,1991,2011,1,A5,0,8/23/2011,212928
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,353,,A5,208 PRESENTATION CIRCLE,,10312,1,0,1,4522,2484,2011,1,A5,0,8/23/2011,212929
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,354,,A5,210 PRESENTATION CIRCLE,,10312,1,0,1,2530,1991,2011,1,A5,0,8/23/2011,212930
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,355,,A5,212 PRESENTATION CIRCLE,,10312,1,0,1,1972,1991,2011,1,A5,0,8/23/2011,212931
