Zip Code ,Zip Square Footage,Total population,Total population - Male,EstimatTotal population - Female,Population density,Population 16 years and over,Total population - White alone,Total population - Black or African American alone,Total population - Asian alone,Total population - Hispanic or Latino (of any race),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total households,Mean household income (dollars),Median earnings for workers (dollars),Residential Units,Total units,Non-residential units,AverageAge
11216,26245138,53783,25270,28513,2.05,45631,7496,37680,2189,4824,2675,2176,2733,3038,4512,11894,8265,524,3133,3124,3255,1713,649,22832,61139,35731,17869,19935,2066,36
11217,21629919,38787,18261,20526,1.79,32879,18918,7516,2516,8282,2395,1811,1374,1195,2245,10455,7456,431,1677,1646,2298,960,576,16726,117480,51492,26884,28446,1562,35
11218,37408912,74758,36514,38244,2,56840,38870,6570,12939,14439,6015,5394,5393,4901,5558,12791,10722,615,4015,3976,3647,2433,995,24869,70046,31172,27243,29709,2466,33
11219,41966552,96971,48925,48046,2.31,67315,57846,766,25537,12414,11797,8944,7390,6889,8193,14782,10542,736,4639,4344,3733,3234,2415,26609,50967,21262,27560,30121,2561,30
11220,47317211,103089,53376,49713,2.18,80260,15437,1777,43289,41186,8152,7501,6082,6121,7910,20133,15210,700,5411,4322,4793,3086,1115,30042,53080,19837,29052,30321,1269,32
11221,38713396,81321,37745,43576,2.1,63237,4837,39073,2403,34007,5931,5677,5367,5970,6800,15100,11223,737,4095,3644,4025,2109,740,27803,51952,28986,16816,19361,2545,32
11222,46382538,34186,16478,17708,0.74,31064,26058,578,1943,4754,1036,955,929,1005,2761,11467,5073,416,2128,1739,1496,1010,431,16395,79763,43780,28996,30999,2003,36
11223,59175128,74606,35957,38649,1.26,59975,44859,2794,17594,8064,4789,4525,4297,4281,4568,10997,9547,582,5166,4277,7414,4008,1889,27050,60488,30454,9386,10339,953,39
11224,42703084,42535,18866,23669,1,36217,22127,9901,3825,6211,1848,2040,1975,2719,2839,4029,4334,562,2944,3074,5285,4119,1671,18134,46350,30843,23518,24716,1198,45
11225,24321014,59182,26387,32795,2.43,46579,9636,41725,1254,5564,4348,3792,3754,3466,5040,10201,7840,507,4018,3181,3559,2056,732,22599,56892,31256,37425,39290,1865,34
11226,38970163,98325,44409,53916,2.52,78261,6105,71824,3231,14987,6580,6134,6160,6468,7866,17247,14041,835,5769,4603,6388,2383,1130,35551,54348,29320,8746,9292,546,34
11228,43058682,43929,21810,22119,1.02,36155,27646,460,11243,4232,2355,2255,2626,2685,2496,6497,6152,492,2688,2755,3988,2367,1168,15156,83920,39579,17441,18737,1296,39
11229,60018320,81030,38425,42605,1.35,66124,54104,3030,16473,6456,4583,4532,4828,4925,5369,9712,10373,696,5948,5464,6020,4519,2356,30892,67981,37337,30795,32425,1630,39
11230,49218503,84219,40774,43445,1.71,64912,57811,6382,10420,8118,6609,6107,5382,5699,6748,11874,10363,587,5133,5259,5376,3999,2029,29819,63309,28576,13791,14831,1040,35
11231,40299840,34137,16120,18017,0.85,27918,19809,3894,1892,7773,2309,2041,1502,1521,1674,7718,6581,510,2012,1661,1648,1085,422,14993,109631,51169,8998,10782,1784,35
11232,56394159,28824,16126,12698,0.51,23393,5919,1320,4124,16479,1630,1858,1693,1774,2781,6415,4640,480,1342,1038,1091,607,145,8824,57917,22556,27738,28886,1148,32
11233,37861347,68599,30379,38220,1.81,52340,2060,55365,880,9346,5341,4686,5383,4852,5015,10421,9793,796,3035,2834,4648,1870,831,26130,49669,31985,28769,31007,2238,32
11234,205320491,94259,44198,50061,0.46,74804,39456,41093,3847,8202,5992,6282,5943,6120,6989,11611,11569,829,6926,5738,6906,4028,1784,31989,84530,38925,,,,36
11235,68655525,74630,34695,39935,1.09,63028,55786,1873,9469,6517,3820,3860,3245,3300,4317,9852,9277,776,5254,5326,7002,5799,2603,31958,64292,37977,7870,8421,551,42
11236,96557506,97217,43496,53721,1.01,77917,4700,81497,2517,7048,5522,5871,6234,7803,7566,13171,13170,740,7097,5208,5841,3074,1191,31542,72060,36554,16468,18067,1599,35
11237,27420304,55478,28461,27017,2.02,43682,6643,3583,3706,41074,4516,3372,3157,4299,6852,12160,7802,514,2197,1567,2042,927,313,16721,53955,23110,26467,28164,1697,29
11238,29156651,51895,24285,27610,1.78,44147,19664,20733,3397,6038,3202,2254,1909,1749,4244,13069,8822,538,3016,2469,2984,1551,837,23003,88005,43754,,,,36
11239,42604564,12879,4756,8123,0.3,10671,3404,5889,496,2909,541,818,693,754,970,1352,1585,348,605,616,1402,1513,456,6377,36453,31506,,,,43
11354,9459233,56258,27046,29212,5.95,49020,10643,1740,32656,9520,2495,2329,1953,2462,3234,8469,8405,709,4106,3781,5159,2948,2015,19822,63705,29650,16701,18062,1361,42
11355,62271230,83221,39595,43626,1.34,70914,7216,1930,58566,12620,3647,4202,3581,4537,6211,12632,11320,872,5883,4597,6244,4320,1845,28245,57510,25292,249,252,3,39
11356,49389568,23037,11482,11555,0.47,18396,6572,481,6661,8891,1507,1435,1359,1471,1436,3472,3470,426,1618,1489,1362,933,382,7599,75087,32262,,,,36
11357,42845559,40872,19078,21794,0.95,33604,27077,93,7313,5569,2517,2197,2188,2092,2063,4572,5313,617,2484,2533,4144,3055,1402,15268,89578,44794,,,,42
11358,77537501,38317,18753,19564,0.49,32460,15335,388,16084,5558,1937,1662,1841,1996,2458,5555,5695,547,2894,2424,2895,2049,757,13395,83862,36650,,,,39
11359,54342938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,,,,50
11360,7143687,19865,9559,10306,2.78,17017,12130,123,5036,2097,919,860,872,915,905,2076,2548,513,1478,1557,2087,1927,916,8737,95613,51337,,,,46
11361,39085512,30597,14510,16087,0.78,25135,13818,737,10266,4549,1806,1549,1815,1660,1682,4391,4571,544,2076,1521,2446,1258,922,10773,89065,41185,,,,38
11362,50321149,17865,8626,9239,0.36,15018,8350,569,7159,1684,1114,646,925,835,689,2173,2569,348,1314,1343,1825,879,694,7035,94915,45013,,,,42
11363,52921341,7354,3828,3526,0.14,5896,3762,32,2439,1057,343,432,523,520,497,692,842,220,680,439,608,316,172,2618,123731,44905,,,,39
11364,25449335,34751,16762,17989,1.37,28693,13730,449,16891,2646,1830,1600,2221,1827,1675,4555,4724,516,2633,2445,2943,1560,1109,13343,86027,43129,,,,40
11365,84296483,41924,19458,22466,0.5,33818,12679,2067,18853,7362,2755,2484,2500,1841,2422,5365,5523,687,2881,2488,3138,2097,1261,15385,71148,33298,,,,39
11366,69247878,13499,6591,6908,0.19,11152,5967,861,4988,1115,731,857,700,740,1289,1558,1369,266,1006,992,1323,637,259,4346,90718,39568,,,,39
11367,20110227,41022,19884,21138,2.04,31386,19967,3700,9267,6609,3993,2903,2323,2241,3026,6075,5431,540,2365,2188,3032,1845,558,14505,73125,38795,22286,24031,1745,35
11368,72897440,107962,58332,49630,1.48,83971,5888,10561,11756,78823,9101,7428,6180,6614,9428,22249,17601,663,4848,3507,4652,2848,989,28318,57070,21209,89,102,13,31
11369,72905258,40761,20863,19898,0.56,32532,2340,6438,4681,26620,2668,2380,2652,2737,3746,6876,6028,472,2317,1853,2094,1472,628,11396,66369,25658,561,567,6,34
11370,30306774,37244,22374,14870,1.23,32052,8369,5644,8224,13583,1456,1615,1787,3207,3877,6713,6055,606,1726,1504,1647,1661,467,8696,68954,26229,24031,25871,1840,35
11371,22245658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,,,,50
