GID,,Pos,Name,Team,Opponent,Home/Away,Salary,Salary Change,Points,GP,Pts_Game,Pts_G_$,Pts_G(alt),Bye week,PLAYS,RUN,RYD,RTD,TARGETS,REC,PYDS,PTD,FUM,INT,PERF,LAST,Connections
2929,122,RB,"West, Terrance",ten,car,H,0,-3000,3.1,2,1.55,0,0,4,16,16,51,0,0,0,0,0,2,0,0,0,22
2999,123,RB,"Artis-Payne, Cameron",car,ten,A,3000,0,3.1,3,1.03,0.34,0,5,12,12,31,0,0,0,0,0,0,0,0,0,28
5415,124,RB,"Burton, Michael",det,gb,A,3000,3000,3.1,4,0.78,0.26,0,9,6,4,2,0,2,2,9,0,0,0,0,0,29
5404,125,RB,"Varga, Tyler",ind,,H,0,0,3,3,1,0,0,10,3,1,2,0,2,1,18,0,0,0,0,0,18
2972,126,RB,"Carey, Ka'Deem",chi,stl,A,3000,0,2.8,1,2.8,0.93,2.8,7,21,21,84,0,0,0,0,0,1,0,0,2.8,30
2980,127,RB,"Prosch, Jay",hou,cin,A,3000,3000,2.8,2,1.4,0.47,0,9,5,4,28,0,1,0,0,0,0,0,0,0,28
5406,128,RB,"Ripkowski, Aaron",gb,det,H,3000,0,2.8,2,1.4,0.47,2.8,7,1,0,0,0,1,1,18,0,0,0,0,2.8,4
2903,129,RB,"Taylor, Stepfan",ari,sea,A,3000,3000,2.5,2,1.25,0.42,0,9,9,8,25,0,1,0,0,0,0,0,0,0,28
5405,130,RB,"Grant, Corey",jac,bal,A,0,0,2.5,5,0.5,0,0,8,9,6,2,0,3,2,13,0,1,0,0,0,17
5423,131,RB,"Harris, Alonzo",gb,det,H,3000,0,1.9,2,0.95,0.32,0,7,4,4,19,0,0,0,0,0,0,0,0,0,4
2878,132,RB,"Lane, Jorvorskie",tam,dal,H,3000,0,1.5,2,0.75,0.25,1.5,6,2,1,0,0,1,2,13,0,0,0,0,1.5,25
2824,133,RB,"Clutts, Tyler",dal,tam,A,3000,0,1.4,1,1.4,0.47,0,6,1,0,0,0,1,1,4,0,0,0,0,0,27
