DBN,Name,M_numtested,M_mean,M_L1,M_L2,M_L3,M_L4,ELA_numtested,ELA_mean,ELA_L1,ELA_L2,ELA_L3,ELA_L4
17K484,RONALD EDMONDS LEARNING CENTER II,140,286.1929,69,58,11,2,138,289.3116,50,63,24,1
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",128,287.2891,56,66,6,0,125,291.912,34,81,10,0
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,62,281.1935,36,20,6,0,60,277.1833,33,22,5,0
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",131,312.4809,7,76,43,5,197,311.802,14,101,66,16
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,101,327.3861,3,30,31,37,272,326.9118,9,69,121,73
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,49,280.9184,26,13,6,4,46,273.5652,28,14,4,0
17K722,NEW HEIGHTS MIDDLE SCHOOL,221,274.2308,152,67,2,0,216,275.1111,129,72,13,2
17K770,P.S. 770 NEW AMERICAN ACADEMY,55,283.6364,24,21,9,1,55,292.2727,22,21,11,1
18K066,P.S. 66,520,307.0885,123,206,138,53,521,297.261,143,263,97,18
18K068,I.S. 068 ISAAC BILDERSEE,625,272.7984,414,189,21,1,705,281.4851,347,288,58,12
18K114,P.S. 114 RYDER ELEMENTARY,296,279.973,160,85,43,8,291,280.4502,154,92,40,5
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,558,297.81,199,185,114,60,554,299.8989,184,195,117,58
18K135,P.S. 135 SHELDON A. BROOKNER,314,293.6051,135,98,60,21,314,298.6879,101,130,66,17
18K208,P.S. 208 ELSA EBELING,212,297.4057,74,75,43,20,211,297.237,68,79,56,8
18K211,I.S. 211 JOHN WILSON,658,288.0547,305,267,71,15,659,290.5023,242,297,97,23
18K219,P.S. 219 KENNEDY-KING,273,281.2821,163,64,30,16,270,291.163,115,101,40,14
18K233,P.S. 233 LANGSTON HUGHES,261,291.8544,105,99,44,13,261,294.8161,95,105,48,13
18K235,P.S. 235 LENOX SCHOOL,710,315.9676,122,195,244,149,766,316.1802,128,211,286,141
18K244,P.S. 244 RICHARD R. GREEN,309,299.6375,95,113,72,29,314,291.7357,120,121,57,16
18K268,P.S. 268 EMMA LAZARUS,211,286.6825,93,80,34,4,203,290.0837,89,76,37,1
18K272,P.S. 272 CURTIS ESTABROOK,240,283.0042,135,80,21,4,235,280.0255,136,72,27,0
